Id|meetup_id|name|member_count|join_mode|description|created|categories
11|8510332|Language Exchange Ireland|5263|open|Join us to practise and improve your target language while meeting new people Every Monday in Dtwo at 6 30pm and every Thursday in the Turks Head at 6 30pm What to expect All levels catered for Always opposite a native speaker of your target language Relaxed easy going atmosphere Professional and quality service Great for networking Spanish French Portuguese Italian German Chinese Japanese exchanges and many more There is also an English only table Costs 5 which includes finger food and snacks 20 off for student card holders For more news and info check Website www languageexchangeireland com FB www facebook com languageexchangeireland Thousands of people have attended our language exchanges in Dublin to practise and improve their target language you can too Everyone welcome|2013-05-16|['Language & Ethnic Identity']
12|5252482|AWS User Group Dublin|2446|open|This is the AWS User Group Network We re a community of engineers developers and business professionals meeting to share ideas learn from each other and from leading figures in the AWS technology space The group is an important resource for technical business professionals who want to stay up to speed with developments in AWS Cloud and related technologies Look out for more events and announcements in 2016 and 2017 For sponsorship requests please contact jason oconaill gmail com For speaking requests please contact ronandublin gmail com Alexa Dublin Belfast Cork|2012-10-05|['Tech']
13|27904804|Free Google Design Sprint Training while Solving Real issues|846|open|Imagine if we could solve the world s problems at a local level at the same rate we solve technology problems at a global level That is the purpose of The Ladder learn Google Design Sprints while solving real problems for local non profits and communities and help the urgent planet goal to reach the UN Sustainable Development Goals Join our meet up every Tuesday Dublin 7 9pm Note You ll need to click on this link to get a free ticket Thank you What you will learn The workshop can be joined at any time but you ll get the most out of it by attending all 6 weeks If you can t attend see below for online and custom workshops There is only one real way to learn this skill by doing so you will solve a real problem with a local non profit using skills you already have and they need in a structure we provide through Sprint over 6 weeks You will learn how to define ideate prototype and test any idea using the fastest and cheapest way possible Validate your idea before spending significant money time and resources using the most rigorous proven and innovative approach available today Not only will you be learning you ll be contributing directly to a real local cause as well as helping The Ladder reach it s goal getting nations to reach the global sustainable development goals by 2030 by scaling impact The outcome is that you will be a Design Sprint Practitioner ready to try your own idea with a sprint as well as getting inside a real non profit or charity and contributing locally We also provide paid professional faciltator training to a very limited number of participants each Sprint Cycle Check out the eventbrite page above What you get CDST Training and be Design Sprint Certification ready The knowledge that you have helped a non profit community directly or indirectly Pre requisites completed for CDSF certified facilitator Who should attend Anyone interested in innovation process or teaching it designers PM PO marketers developers social entrepreneurs can leverage this methodology to drive meaningful change Founders team leads PM marketers engineers designers non profits and gov folks can all benefit No prior experience is necessary Our speakers Colm Byrne Colm is product manager and owner of the digital agency Flout IO he has created his own start ups and helped Apple JP Morgan The AA 118 Paddy Power Betfair and the guys who invented the hula hoop build ground breaking products Ruta Danyte Ruta is an interdisciplinary communicator She blends together creativity technology entrepreneurship and communities Her projects explore human development in the idea age Connect with Ruta at Francesco Alioso Francesco is design obsessed with an eye for detail and beauty developed from a foundation in modern Italian furniture design and a childhood spent hacking toys and building machines As professional web designer with over 15 years experience he applies his cross disciplinary skills to serve new frontiers in social causes www francescoaloisio com Mardea Gartree Project manager and board member of a non profit organisation in her community in Laois She understands the challenges and issues affecting non profits in local communities www linkedin com in mardea g Kevin O Connell Kevin has over 25 years experience working in Industrial Design model making and prototyping e learning and web technologies Has recently become immersed in the black art of user experience making it easier for people to interact with technology Virginia Raoul As UX researcher she believes that putting the users in the center in the design is key to a successful solution and promotes collective creativity to help people and change the society positively www linkedin com in virginiaraoul What if I can t attend The ladder provides on site training and sprint facilitation to your company|2018-03-21|['Tech']
14|25990864|Blockchain for Finance Community|620|open|We are a meetup group bringing together those interested in Blockchain and distributed ledger technologies in the financial and tech communities|2017-09-20|['Tech']
15|26954126|The Data Science Ireland Meetup|833|approval|On the first Wednesday of each month the Data Science Ireland meetup aims to bring like minded people together in the areas of AI Machine Learning and Data Science and bring you some of the best insights from the top data scientists and technologists in Ireland The Data Science Ireland meetup is part of AI Ireland network Twitter datascienceirl br Hashtag datascienceirl If you would like to speak at a future meetup or would like to contact us with any queries please PM co organizer Liam McNamara|2017-12-24|['Tech']
16|6943212|Python Ireland|4837|open|Python Ireland is a group for anyone interested in learning more about the Python programming language We aim to hold a meetup every month on a variety of topics from Computer Science finance research big data and more with a focus on Python related technologies It is suitable for all levels and new people are always welcome We also have an annual conference in November called PyCon Ireland If you are interested in hearing more about this conference or our group please check out our website at and|2013-01-30|['Tech']
17|1742710|Social Life Dublin|8784|open|Join us for social events Personal Development Comedy Arts and Travel We are all about Building a community Bringing Positive People together to have fun And maybe learn something along the way We organise friendly events around Personal Development Travel Comedy and the Arts in General around Dublin Ireland In the past we have had Life Coach Tricia Tiernan talk about how to find your ideal job Irish Comedian Marcus O Laoire telling us a joke and then talking about the process of comedy writing We have had our friends Jesus Garcia giving us tips for our next visit to the South of Spain and Chris Riggs on Safaris and Hiking in Africa Millionaire Shush Ayra Travel Network Marketing Entrepreneur with WorldVentures spoke about Financial Freedom how I did it Future events will include social events to visit Galleries Exhibitions restaurants and Wine Tastings Socialites will meet like minded proactive and positive people Most are looking for more from life and have a natural curiosity and tolerance for other peoples believes All ages are welcome Look forward to meeting you soon Social Life Dublin Team|2010-11-25|['Health & Wellbeing', 'Support']
18|19092554|Hiking in Wicklow|5582|open|Hi This is a free group for anybody interested in hiking around the Wicklow Mountains We meet most weekends It is a friendly supportive group The hikes will be moderate and a reasonable level of fitness is required Proper footwear and clothing are essential|2015-11-05|['Cars & Motorcycles', 'Outdoors & Adventure']
19|19466741|Design Thinkers, eXperience, Service Designers & Innovators|1808|open|Today we live in a design centric world where everything is designed from Designer Handbags to iphones to the customer experience on a website or flying a plane Design is the beginning of the journey in the Design Build Operate Evolve lifecycle of an organisation Our aim with this group is to bring together thought leadership across all the disciplines and help people create joined up thinking and holistic design So whether you are looking to make your products and services more customer centric change user behaviour or evolve to the next version of your product or service or develop a new business model business this group is for you Come and hear about new trends and techniques discover best practise share experience with people and their design journeys as they develop new products services or businesses We cover topics such as design thinking service design design sprints innovation nudge neuroscience green technology systems thinking Networking is an important part of learning and sharing and so do come and meet new people Our aim to build a vibrant community aimed at improving the world be it a new product service or the way it is designed and built Joined up thinking and in general a end to end solution approach to making things and places better then you have come to the right place|2016-01-30|['Tech']
20|28180848|You only live once|449|approval|Hi this meet up is for people who like to meet new people Who like to keep fit socialise and holiday with new friends This is not a dating site|2018-04-16|['Cars & Motorcycles', 'Outdoors & Adventure']
21|29632474|BlockW Ireland|156|open|Ireland has a strong growing blockchain industry with more and more companies exploring this nascent and disruptive technology Given the growth and opportunities in the sector the mission of BlockW is to facilitate and drive conversation on the possibilities of blockchain technology for women in Ireland By providing a platform for communication education and the discussion of ideas the group aims to bridge the gap between the impossible and possible for women in blockchain The group will focus on building awareness around blockchain career opportunities across all industries and sectors|2018-08-26|['Career & Business']
22|11006942|Board Games Ireland|4046|open|We are dedicated to playing board games and card games and having fun Everyone is welcome to join in and bring along their own games Boardgames have evolved a lot in the past decade or so So you might get a bit of a shock if you re just used to older games like Monopoly Cluedo and Scrabble But board games are now more fun than ever and there s constantly more and more inventive and wonderful games coming out every month Some of the games may look a bit daunting if you re new to modern board games but feel free to ask one of the organisers and they ll be able to recommend something that might be a good introduction And of course there s always a place for the classic board games too Facebook Group Website boardgamesireland com|2013-11-07|['Games', 'Sci-Fi & Fantasy']
23|12415702|Surf Trips|3670|open|This is a group for those interested in going on surf inspired trips to Ireland s west coast of ireland We are open to all standards of surfers from those who wish to try the sport for the first time to those who just want to travel surf share lifts with like minded people We also have weekends filled with all kinds of other adventures along the Wild Atlantic Way in combination with surfing so let us know what other adventures you want and we ll make up your ideal weekend and get people signed up to come along for the ride|2014-01-24|['Fitness', 'Sports & Recreation']
24|18540219|Dublin Node.js Meetup|2034|open|Hello all Noders Node js Dublin is a monthly meetup for all things Node js we have been running this meetup for four years now and are still going strong If you re interested in Node js and want to hear top quality talks join our Node family There will also be free beer and pizza every month|2015-04-09|['Tech']
25|6343382|Dublin Local History Meetup|2453|approval|This is a group for anyone interested in the history of Dublin city and county Come along if you want to share stories about the people and places or if you want to learn more about this fine city The plan is to schedule a wide variety of events related to Dublin history such as the Viking city Georgian Dublin Dublin Tenements The Liberties 1916 Famous Parks Dublin Writers Landmarks etc With a thousand years of history at our fingertips the list is endless Code of Conduct The group is intentionally relaxed informal and friendly As a minimum the following code of conduct is expected of all members No abuse of the organisers other members No using the group for commercial enterprise Any members in breach of this code will be removed from the group Health Safety Events are organised with H S in mind max numbers no unsafe venues destinations etc however each member attends events at their own risk|2012-12-24|['Socializing']
26|14171282|Dublin μServices (Microservices) User Group|1356|open|The Architectural Monolith s days are numbered As companies are becoming more and more agile and see how they can now adapt in order to innovate and compete faster than their competition software development teams are being forced to maintain and evolve large monolithic applications at a pace of change that those architectures were never meant to withstand let alone embrace Microservices are a new approach to architecting applications They are simple single purpose lightweight architectural components that enable you to deliver software faster The microservice architectural approach also aims to lead to software that thrives on change while at the same time being secure performant and stable This meet up is for people interested in architecting designing deploying and maintaining micro service based software architectures|2014-04-29|['Tech']
27|18676336|Hill Walking for Health|3301|open|This is a group for anyone wishing to make friends enjoy a healthy lifestyle get fit manage stress lose weight and have some craic It is for those who enjoy fresh air keeping fit and would like to go hill walking but perhaps due to a skills or experience gap have not yet enjoyed the benefits of this type of exercise The activity is great for both physical and mental health|2015-06-16|['Fitness', 'Sports & Recreation']
28|5761332|Entrepreneurs Anonymous Dublin|7542|open|Are you interested in becoming an entrepreneur and would like to meet like minded people in the same situation Do you already have your own business but enjoy meeting like minded people learn new things and exchange best practices If yes then you should join Entrepreneurs Anonymous We usually have guest speakers who share their expertise and experience following networking in a nice setting The name Entrepreneurs Anonymous could stand for being addicted to entrepreneurship and having an urgent need to get group support for it But actually Entrepreneurs Anonymous is more about providing a safe place with like minded people where entrepreneurship can be explored Entrepreneurs Anonymous events started in Dublin Ireland in 2011 as accountability group by former students of an entrepreneurship course The interest for the group grew and now social events with guest speakers are organized every last Tuesday of the month With a membership increase by 10 each month it was quickly realized last Tuesday events were simply just not enough for the Anonymous Entrepreneurs B U I L D was set up to offer more opportunities for Entrepreneurs to learn from each other B U I L D stands for Businesses United for Innovation Learning and Development and is about organizing workshops seminars business clinics and networking events for all kinds of entrepreneurs So far B U I L D events like the Gigonomy Panel discussion Customer Journey Speed Business Networking and the Free Business clinic have been organized If you have an idea for an event that could be of value for entrepreneurs apply via The best way to register and access all of Entrepreneurs Anonymous B U I L D resources is through our website You can also follow the hashtag EntAnon and engage with the group via these pages Twitter Facebook|2012-11-08|['Career & Business']
29|7901702|DublinJS|3435|open|DublinJS is a developer group for anyone interested in Javascript in Ireland All skill levels are welcome Stay tuned for details of DublinJS meetups and events and get in touch if you want to get involved|2013-04-03|['Tech']
30|19150708|ProductTank Dublin|2221|open|ProductTank provides an opportunity for Product Managers in Dublin to exchange ideas and experiences about Product Design Development and Management Business Modelling Metrics User Experience and all the other things that get us excited Events include talks from guest speakers on topics around product management networking opportunities and a good old fashioned chin wag over a beer or two We have a blog and encourage the community to get engaged by commenting on or writing new posts for Subscribe to our newsletter Follow up on Twitter|2015-11-24|['Tech']
31|25582589|Psychology for Business|645|open|This is a meetup for people who would like to apply evidence based psychology initiatives to their field be it organisational change people development learning media marketing education interaction design etc Our friends at Pearn Kandola say Because all business is psychology and we agree This meetup will focused on curated topics debunking myths unpicking the value of trends and it will aim to bring researchers and practitioners together to make things better for the humans with whom we do business and for whom we design products and services Join us Once we have established a group of people who are interested we ll plan our first event|2017-08-22|['Career & Business']
32|24735721|PyData Dublin|879|open|PyData provides a forum for the international community of users and developers of data analysis tools to share ideas and learn from each other The global PyData network promotes discussion of best practices new approaches and emerging technologies for data management processing analytics and visualisation PyData communities approach data science using many languages including but not limited to Python Julia and R PyData Dubin is supported by an educational program of NumFOCUS a non profit organisation whose focus is to support and promote sustainable high level programming languages open code development and reproducible scientific research Some of the open source data science tools and projects that they sustain via community donations include The PyData Code of Conduct governs this meetup To discuss any issues or concerns relating to the code of conduct or the behavior of anyone at a PyData meetup please contact NumFOCUS Executive Director Leah Silen 1 512 222 5449 leah numfocus org or the group organizer If you d like to present a talk or become a host for one of our monthly meetup please feel free to send us a message through Meetup Twitter Github Facebook|2017-06-28|['Tech']
33|7023802|Interesting Talks Dublin|7955|open|Talks that create Transformation If you are 1 Looking to Network with Positive Supportive People while 2 Gaining access to tools strategies from leading experts to improve your life Then you are in the right place We organise Interesting Talks on a range of topics from Life Coaching Entrepreneurship Motivation Developing Positive Habits Positive Psychology And Much More Each of our talks involves a social gathering at the end of the talk to connect with like minded people and share stories We don t allow network marketers promote themselves at our groups All speeches are of value and no high pressure sales pitches allow Speakers are invited to ask the audience to share their details if they feel that the speaker can be of service to them|2013-02-04|[]
34|16049252|Wet & Wild Sports Club|2547|open|Wet Wild is an LGBTQ outdoor pursuits and social club based in Ireland Our club s aim is to run an adventurous fun and welcoming club by running a wide range of indoor and outdoor activities Our club is open to all members of the LGBTQ Community and anyone else who wants to join in have an enjoyable time and meet some really nice people We are a friendly all inclusive group established in 2009 with over 2 000 members All you need to do to be a part of the club is to share in the enthusiasm take on the adventures and have some fun The club regularly hosts a wide range of activities and events in Dublin and around the country There s sure to be something to catch your eye Wet and Wild is a non commercial member run club where all members agree to take part under their own liability The club has gone from strength to strength and continues to grow but is not possible without your input All of our events are set up by our members so if you have a great idea for an event then please contact one of the group organisers or get in touch with us via the Contact link on the left side of the Wet and Wild page at www meetup com Wet Wild From all of us welcome to Wet and Wild See you at an event soon|2014-07-29|['Cars & Motorcycles', 'Outdoors & Adventure']
35|20484271|Ministry of Testing - Dublin|1141|open|We want to create a strong diverse and fun community of people passionate about testing We are an inclusive bunch we love to hear from all different schools of thought don t be shy We want to organise events with a mix of formats Talks given by known testers from Ireland and beyond Open conversations Other formats that the community will choose And most importantly we want to have a lot of FUN while learning come join us The Taoiseach Gus|2016-09-27|['Tech']
36|15290032|IBM Cloud Dublin|1143|open|This meetup group is geared towards developers architects and all IBM Cloud enthusiasts We learn about IBM Cloud hands on with fellow developers We meet regularly in Dublin all are welcome to join Hope to see you at a meetup real soon|2014-06-24|['Tech']
37|23453120|Dublin Data Science|1998|open|This is a meetup for all who are interested in data science and applied statistics We ll cover Statistics Machine Learning AnalyticsMajor languages used include SQL R Python but we re always open to new tools|2017-04-27|['Tech']
38|8679002|Dublin Indoor Football at The Soccer Dome|1485|open|Relocated to our new state of the art venue The Soccer Dome in the Sportslink Complex Re Opening at new venue Sunday 11th February 2018 Interested in indoor football and meeting new people Why not join Dublin Indoor Football at The Soccer Dome for a weekly sociable game of 5 6 or 9 a side football With the emphasis on fun and meeting new people indoor football is also a great way to get fit and stay healthy Games are organised weekly and take place in our new state of the art Soccer Dome at Sportslink Complex Santry Dublin 9|2013-05-28|['Fitness', 'Sports & Recreation']
39|18662756|Dublin TypeScript Meetup|652|open|TypeScript is a typed superset of JavaScript that compiles to plain JavaScript In this Meetup we teach and learn effective ways to use Typescript share cool projects we ve built using the language and do hands on practice projects together|2015-06-10|['Tech']
40|3886172|Wicklow Nordic Walking|2376|open|We are a group of regular Nordic Walkers based in North County Wicklow Nordic Walking uses specific walking poles which give a good upper body workout and great support You dont have to use the Nordic poles or even poles if you want to walk with us but most of the group chose to use them Walks take place during the week usually Tuesdays and on Saturdays and Sundays and are posted up on the site here The Saturday morning walks are the best for starters and usually take place on Kilruddery Estate where there is a great range of terrains fields woods open hillside and bog These walks are usually two hours in duration and the pace is usually moderate depending on the group Saturday afternoon walks vary in location usually within County Wicklow but occasionally we travel a little We have done most of the Wicklow Way and the majority of peaks in County Wicklow and in all types of weather We also do day trips and weekends away in the past few years we have been to the Comeraghs Galtymore Slievenamon Lugnaquilla Clogherhead and have done some of the Kerry Way In the autumn of 2016 we visited Westport and of course cycled the entire Greenway Last year we visited the French Alps for a three night trip and are heading to Austria this year We occasionally combine a walk with a site visit and have visited many castles and stately homes over the past six years We have even done a few boat trips Plans are afoot for a number of trips away this year also as well as some social events Many of the regular walkers have become friends on the way so we could be regarded as more than just a walking group Our group are best described as moderate to good walkers with their own transport and we are a lively and friendly group and make new walkers very welcome Anyone joining us must have walking boots good rain gear a rucksack with a basic first aid kit and a sense of humour We also carpool so you must be prepared to take your turn Please note that there is a charge of 8 per walk and I supply poles to those who would like them and I organise all events If this sounds like a group you would be comfortable with we would be delighted to meet you|2012-05-17|['Cars & Motorcycles', 'Outdoors & Adventure']
41|22111741|Conversation Salons|3297|open|Conversation Salons are about bringing all different kinds of people together for interesting and uplifting conversation on a whole range of various topics In a relaxed caf setting over tea and coffee in small groups choose from an enticing conversation menu of thought provoking questions Be intrigued by the different ideas and opinions you hear Expect to be surprised Treasure curiosity more than certainty Have fun be inspired connect with new people The Conversation Salons are not just a celebration of the Art of Conversation they are an invitation for you to be the Artist Hosted by Life Coach Heather Bourke Please like us on Facebook and follow us on Twitter Website|2017-01-27|['New Age & Spirituality', 'Paranormal', 'Religion & Beliefs']
42|28255733|English Language Conversation with English Teacher|1435|open|If you are new Dublin or just want to develop your conversational skills then join us for coffee chats Your host is an English language teacher from Dublin so you can get tips on English and where to try the best Guinness stereotype alert We have a Facebook group that you can join for more learning conversation Join us here Expect this meetup to Develop your English communication skills with an English teacher from Dublin Learn new phrases that are essential for life in Dublin Build your confidence speaking with native English speakers Grow your circle of friends Be part of a community Advance your language skills Learn how to play traditional Irish sports weather permitting|2018-04-23|['Language & Ethnic Identity']
43|2509262|Sober Slice|7397|open|Hello all Sober Slice is a new meet up group that welcomes all with open arms It s not specific to singles and hopes to attract people from all corners of the world The idea behind the group s formation is that you can enjoy life in Ireland with like minded people doing fun things that don t necessarily revolve around drink or a pub The group doesn t exclude people who like a drink BTW There are a huge variety of events activities happening in Ireland and it can be made all the more enjoyable as part of a welcoming friendly group Activities events in this group include live gigs hill walks language exchange simple afternoon coffee browsing markets and many many more This group will allow you to make new friends and enjoy the craic without the dreaded hangover the next day I would love the input of new members to shape the direction of this group so if you want to see the sober side of Ireland jump on board and join our club today If you need any more info call Dave on 087 610 2363 Disclamer It s each person s responsibility to approach outdoor activities with caution Walking can be demanding and the onus is on each individual to ensure they are fit enough to complete the distance before going Not all trails are on solid and even surfaces so it is up to each walker to be mindful of their own safety In the event of an accident causing injury of any kind Sober Slice is not liable|2011-09-19|['Socializing']
44|20234374|SQL Ireland User Group|830|open|The SQL Server Ireland User Group was founded in 2006 to foster grow the Irish SQL Server community while providing networking opportunities sharing experiences using SQL Server This group is a local chapter of PASS The Professional Association for SQL Server www sqlpass org Meetings are held most months usually in the evening of the first Tuesday of the month We do collaborate with others to support larger conference events from time to time including the highly successful SQL Saturday Dublin Event Over 1 000 members across DBA s Developer s Architects BI Professionals and IT Pros Follow us on Email ssiug live ie Blog Eventbrite Twitter sqlireland|2016-07-28|['Tech']
45|19154289|Dublin Singles Party Meetup|3949|open|We have a monthly Singles Party on the first Friday of every month They have been very successful the last couple of years It is based upstairs and is a very casual funfilled night We have games DJ craic magic and alot of matches made Its always a great night with like minded people having a laugh We always ensure there are an even amount of men and women signed up for the night I have seen ALOT of singles being matched by the end of the night So set the Late Late show to record put your glad rags on and come and have a great night with us to kick off your New Year|2015-11-25|['Socializing']
46|25799164|New in Dublin? Let`s travel and make some friends :)|2798|open|The group for all Internationals students au pairs young professionals living studying and working in Dublin in 2018 2019 Moving to a new country is not easy We are a team of Internationals with the aim to develop a community for all newcomers Join us to make new friends share useful information travel together and have fun You don t have to face all the challenges of moving alone Join your local community on Facebook here Most of our events will be announced here but please also LIKE our Facebook page so you don t miss out on anything Welcome|2017-09-06|['Language & Ethnic Identity']
47|7710012|Free Meditation & Yoga Ireland|4846|open|Hello there We d like to welcome you to our FREE weekly Sahaja Yoga meditation meetings which take place in Dublin on Fridays With Sahaja Yoga Meditation we normally sit on chairs to achieve yoga effortlessly spontaneously So there is no need for mats and no special clothing required We are all volunteers of a Charity organisation and have many years of experience in offering free Sahaja Yoga Meditation classes All across the globe many are seeking new sources of energy Meanwhile the most transformative energy of all is hiding in plain sight within us It s natural sustainable and infinitely renewable It s called inner kundalini energy And everyone already has it everyone It is often likened to an inner feminine or motherly energy which automatically knows about us and what is needed to help us restore balance and harmony within our subtle being It works spontaneously effortlessly organically and cannot be paid for The classes are designed to help those attending get into a genuine meditative state which can be felt tangibly It is quite effortless and spontaneous The free classes feature introductory talks video s practical workshops and general question and answer opportunities making them perfect for seekers trying to establish a state of yoga and they are available across London most evenings and throughout the UK The idea is that you don t do yoga you Achieve Yoga Sahaja Yoga Meditation is a simple time honored technique It helps those who enjoy it reduce stress and increase wellness It brings better focus and helps people become more centered and better balanced Anyone can do it Founded by Shri Mataji Nirmala Devi Sahaja Yoga Meditation is a world wide movement for peace and self awakening All the meetings and classes are free of any charge Each week we go through simple meditation techniques often with guided meditations to help reduce stress and achieve the peace of true meditation We share tips on how to help stay in balance during the day and how to meditate at home The meditation is based on connecting with the inner chakras energy centres and balancing the subtle body The tradition and aims of meditation are explained which in essence is to be in the present with no mental activity or thoughts about the past or the future Occasionally there are 1 day retreats to help those interested deepen their individual experience and hear advice and tips from those who have been practicing for some time It s ultimately all about getting into thoughtless awareness a natural state of being We have a web site in London too which you can visit if you are ever there for more info about weekly meetings www sahajayogalondon co uk Join us on Facebook and Twitter|2013-03-20|['Health & Wellbeing', 'Support']
48|18545897|Dublin Salsa Dancing|3262|open|This is a group for anyone looking to practice salsa dancing We will dance and have fun and get fit while meeting new people We want to enhance the salsa community in Dublin by creating a space for everyone who is passionate about dancing salsa to connect and grow All ages and all levels are welcome in this group Facebook Dublin Salsa Dancing|2015-04-13|['Dancing']
